ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,STATE,COUNTRY,PRODUCTLINEID
10107,30,95.7,2,2871,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,NY,USA,1
10145,45,83.26,6,3746.7,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,Pasadena,CA,USA,1
10159,49,100,14,5205.27,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,San Francisco,CA,USA,1
10168,36,96.66,1,3479.76,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,Burlingame,CA,USA,1
10201,22,98.57,2,2168.54,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,San Francisco,CA,USA,1
10237,23,100,7,2333.12,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,NYC,NY,USA,1
10251,28,100,2,3188.64,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,Newark,NJ,USA,1
10263,34,100,2,3676.76,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,Bridgewater,CT,USA,1
10285,36,100,6,4099.68,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,Cambridge,MA,USA,1
10318,46,94.74,1,4358.04,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,Allentown,PA,USA,1
10329,42,100,1,4396.14,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,NY,USA,1
10388,42,76.36,4,3207.12,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,New Bedford,MA,USA,1
10140,37,100,11,7374.1,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,Burlingame,CA,USA,2
10163,21,100,1,4860.24,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,NYC,NY,USA,2
10183,23,100,8,5372.57,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,2
10215,35,100,3,6075.3,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,Burbank,CA,USA,2
10228,29,100,2,6463.23,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,Cambridge,MA,USA,2
10245,34,100,9,6120.34,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,New Haven,CT,USA,2
10312,48,100,3,11623.7,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10322,40,100,1,6000.4,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,Nashua,NH,USA,2
10333,26,100,3,3003,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,San Francisco,CA,USA,2
10357,32,100,10,5691.84,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10369,41,100,2,4514.92,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,Brickhaven,MA,USA,2
10381,36,100,3,8254.8,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,San Francisco,CA,USA,2
10107,39,99.91,5,3896.49,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,NY,USA,1
10145,37,100,9,5192.95,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,Pasadena,CA,USA,1
10159,37,100,17,5016.83,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,San Francisco,CA,USA,1
10168,27,100,4,3660.93,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,Burlingame,CA,USA,1
10201,24,100,5,3025.92,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,San Francisco,CA,USA,1
10236,22,100,1,2852.08,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,Philadelphia,PA,USA,1
10251,44,100,5,5756.52,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,Newark,NJ,USA,1
10263,40,100,5,4472,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,Bridgewater,CT,USA,1
10285,47,100,9,6484.59,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,Cambridge,MA,USA,1
10308,34,100,2,4043.96,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,White Plains,NY,USA,1
10318,45,100,4,5566.5,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,Allentown,PA,USA,1
10329,20,100,2,3176,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,NY,USA,1
10388,50,44.51,5,2225.5,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,New Bedford,MA,USA,1
10107,27,100,4,6065.55,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,NY,USA,1
